LATITUDE,LONGITUDE,HourlyPrecipitation,HourlyWindSpeed,DATES
40.77898,-73.96925,0,14.0,2009-01-02T12:34:00
40.77898,-73.96925,0,11.0,2009-01-02T12:51:00
40.77898,-73.96925,0,7.0,2009-01-02T13:05:00
40.77898,-73.96925,0,9.0,2009-01-02T13:30:00
40.77898,-73.96925,0,10.0,2009-01-02T13:46:00
40.77898,-73.96925,0,9.0,2009-01-02T13:51:00
40.77898,-73.96925,0,9.0,2009-01-02T14:09:00
40.77898,-73.96925,0,10.0,2009-01-02T14:29:00
40.77898,-73.96925,0,3.0,2009-01-02T14:51:00
40.77898,-73.96925,0,8.0,2009-01-03T02:51:00
40.77898,-73.96925,0,9.0,2009-01-05T01:51:00
40.77898,-73.96925,0.01,9.0,2009-01-06T19:51:00
40.77898,-73.96925,0.01,10.0,2009-01-06T20:00:00
40.77898,-73.96925,0.02,8.0,2009-01-06T20:44:00
40.77898,-73.96925,0.02,6.0,2009-01-06T20:51:00
40.77898,-73.96925,0,9.0,2009-01-06T21:51:00
40.77898,-73.96925,0.01,9.0,2009-01-06T22:51:00
40.77898,-73.96925,0,9.0,2009-01-06T23:00:00
40.77898,-73.96925,0,11.0,2009-01-06T23:07:00
40.77898,-73.96925,0.02,11.0,2009-01-06T23:38:00
40.77898,-73.96925,0.03,9.0,2009-01-06T23:51:00
40.77898,-73.96925,0.03,11.0,2009-01-07T00:37:00
40.77898,-73.96925,0.04,8.0,2009-01-07T00:51:00
40.77898,-73.96925,0.01,10.0,2009-01-07T01:04:00
40.77898,-73.96925,0.06,10.0,2009-01-07T01:51:00
40.77898,-73.96925,0.09,13.0,2009-01-07T02:51:00
40.77898,-73.96925,0.06,15.0,2009-01-07T03:51:00
40.77898,-73.96925,0.07,16.0,2009-01-07T04:51:00
40.77898,-73.96925,0.08,15.0,2009-01-07T05:51:00
40.77898,-73.96925,0.05,18.0,2009-01-07T06:51:00
40.77898,-73.96925,0.11,18.0,2009-01-07T07:51:00
40.77898,-73.96925,0.13,18.0,2009-01-07T08:51:00
40.77898,-73.96925,0.04,14.0,2009-01-07T09:00:00
40.77898,-73.96925,0.10,15.0,2009-01-07T09:29:00
40.77898,-73.96925,0.13,16.0,2009-01-07T09:43:00
40.77898,-73.96925,0.15,15.0,2009-01-07T09:51:00
40.77898,-73.96925,0.02,17.0,2009-01-07T10:02:00
40.77898,-73.96925,0.05,13.0,2009-01-07T10:51:00
40.77898,-73.96925,0.02,11.0,2009-01-07T11:00:00
40.77898,-73.96925,0.08,9.0,2009-01-07T11:25:00
40.77898,-73.96925,0.12,10.0,2009-01-07T11:51:00
40.77898,-73.96925,0.07,8.0,2009-01-07T12:51:00
40.77898,-73.96925,0.03,10.0,2009-01-07T13:51:00
40.77898,-73.96925,0.01,3.0,2009-01-07T14:51:00
40.77898,-73.96925,0.01,7.0,2009-01-07T16:51:00
40.77898,-73.96925,0.03,5.0,2009-01-07T17:07:00
40.77898,-73.96925,0.04,5.0,2009-01-07T17:14:00
40.77898,-73.96925,0.05,3.0,2009-01-07T17:38:00
40.77898,-73.96925,0.06,3.0,2009-01-07T17:48:00
40.77898,-73.96925,0.06,0.0,2009-01-07T17:51:00
40.77898,-73.96925,0,6.0,2009-01-07T18:33:00
40.77898,-73.96925,0,7.0,2009-01-07T18:51:00
40.77898,-73.96925,0.01,0.0,2009-01-07T19:24:00
40.77898,-73.96925,0.01,6.0,2009-01-07T19:51:00
40.77898,-73.96925,0,8.0,2009-01-07T20:51:00
40.77898,-73.96925,0,9.0,2009-01-07T21:51:00
40.77898,-73.96925,0,3.0,2009-01-10T12:51:00
40.77898,-73.96925,0.01,7.0,2009-01-10T13:00:00
40.77898,-73.96925,0.01,8.0,2009-01-10T13:15:00
40.77898,-73.96925,0.01,8.0,2009-01-10T13:22:00
40.77898,-73.96925,0.02,8.0,2009-01-10T13:35:00
40.77898,-73.96925,0.02,6.0,2009-01-10T13:51:00
40.77898,-73.96925,0,6.0,2009-01-10T14:00:00
40.77898,-73.96925,0.01,10.0,2009-01-10T14:34:00
40.77898,-73.96925,0.01,9.0,2009-01-10T14:48:00
40.77898,-73.96925,0.01,10.0,2009-01-10T14:51:00
40.77898,-73.96925,0,9.0,2009-01-10T15:25:00
40.77898,-73.96925,0,10.0,2009-01-10T15:51:00
40.77898,-73.96925,0,10.0,2009-01-10T16:08:00
40.77898,-73.96925,0,13.0,2009-01-10T16:14:00
40.77898,-73.96925,0,10.0,2009-01-10T16:20:00
40.77898,-73.96925,0.03,5.0,2009-01-10T16:51:00
40.77898,-73.96925,0.01,6.0,2009-01-10T17:01:00
40.77898,-73.96925,0.03,6.0,2009-01-10T17:19:00
40.77898,-73.96925,0.04,10.0,2009-01-10T17:26:00
40.77898,-73.96925,0.05,6.0,2009-01-10T17:38:00
40.77898,-73.96925,0.05,13.0,2009-01-10T17:49:00
40.77898,-73.96925,0.05,9.0,2009-01-10T17:51:00
40.77898,-73.96925,0,11.0,2009-01-10T18:01:00
40.77898,-73.96925,0.01,9.0,2009-01-10T18:51:00
40.77898,-73.96925,0,9.0,2009-01-10T19:16:00
40.77898,-73.96925,0.01,15.0,2009-01-10T19:40:00
40.77898,-73.96925,0.01,13.0,2009-01-10T19:51:00
40.77898,-73.96925,0,10.0,2009-01-10T20:29:00
40.77898,-73.96925,0,10.0,2009-01-10T20:42:00
40.77898,-73.96925,0,11.0,2009-01-10T20:51:00
40.77898,-73.96925,0.01,14.0,2009-01-10T21:37:00
40.77898,-73.96925,0.01,13.0,2009-01-10T21:51:00
40.77898,-73.96925,0,10.0,2009-01-10T22:12:00
40.77898,-73.96925,0,11.0,2009-01-10T22:20:00
40.77898,-73.96925,0,10.0,2009-01-10T22:51:00
40.77898,-73.96925,0.01,6.0,2009-01-11T01:19:00
40.77898,-73.96925,0.04,8.0,2009-01-11T01:51:00
40.77898,-73.96925,0.02,7.0,2009-01-11T02:04:00
40.77898,-73.96925,0.03,11.0,2009-01-11T02:14:00
40.77898,-73.96925,0.05,13.0,2009-01-11T02:21:00
40.77898,-73.96925,0.06,10.0,2009-01-11T02:30:00
40.77898,-73.96925,0.07,8.0,2009-01-11T02:39:00
40.77898,-73.96925,0.08,5.0,2009-01-11T02:46:00
40.77898,-73.96925,0.09,11.0,2009-01-11T02:51:00
40.77898,-73.96925,0,7.0,2009-01-11T03:26:00
40.77898,-73.96925,0.01,10.0,2009-01-11T03:51:00
40.77898,-73.96925,0,7.0,2009-01-11T04:11:00
40.77898,-73.96925,0,6.0,2009-01-11T04:30:00
40.77898,-73.96925,0.01,6.0,2009-01-11T04:51:00
40.77898,-73.96925,0,5.0,2009-01-11T05:21:00
40.77898,-73.96925,0,6.0,2009-01-11T05:51:00
40.77898,-73.96925,0.02,10.0,2009-01-11T12:51:00
40.77898,-73.96925,0.02,9.0,2009-01-11T13:51:00
40.77898,-73.96925,0,10.0,2009-01-15T05:44:00
40.77898,-73.96925,0,7.0,2009-01-15T05:51:00
40.77898,-73.96925,0,6.0,2009-01-15T06:12:00
